Ticker,Price,Price_Change_Pct,Volume,Avg_Volume,News_Titles
NTHI,5.289999961853027,55.58822980801554,277768.0,29435.0,['No Title Available']
ABTS,5.090000152587891,22.355777386730537,267488.0,38595.0,['No Title Available']
NTRB,10.720000267028809,17.802195798341696,1774050.0,42755.0,"['No Title Available', 'No Title Available']"
